3d_glasses	Three-D Glasses
nasty	Nasty
nation	Nation
national_guard	National Guard
native	Native
natural_childbirth	Natural Childbirth
nature	Nature
naughty	Naughty
nausea	Nausea
navy	Navy
near	Near
neat	Neat
nebraska	Nebraska
necessary	Necessary
neck	Neck
necklace	Necklace
necklace_charm	Necklace - Charm
necklace_cross	Necklace - Cross
necklace_pendant	Necklace - Pendant
necktie	Necktie
necktie_clip	Necktie Clip
nectar	Nectar
need	Need
needle	Needle - Sewing
needle_shot	Needle - Shot
negative	Negative
neglect	Neglect
negotiate	Negotiate
neighbor	Neighbor
neighborhood_1	Neighborhood - 1
neighborhood_2	Neighborhood - 2
neither	Neither
nephew	Nephew
nerd	Nerd
nerve	Nerve
nervous	Nervous
nest	Nest
neurology	Neurology
neurosurgery	Neurosurgery
neuter	Neuter
neutral	Neutral - Impartial
neutral_gear	Neutral - Gear
neutron	Neutron
nevada	Nevada
never	Never
new	New
new_hampshire	New Hampshire
new_jersey	New Jersey
new_mexico	New Mexico
new_orleans	New Orleans
new_york_1	New York - 1
new_york_2	New York - 2
newborn	Newborn
newlywed	Newlywed
news_team	News Team
newscaster	Newscaster
newspaper	Newspaper
newspaper_salesman	Newspaper Salesman
next	Next
next_exit	Next Exit
next_exit_left	Next Exit Left
next_exit_right	Next Exit Right
nibble	Nibble
nice	Nice
nickel	Nickel - Money
niece	Niece
night	Night
nightgown	Nightgown
nightmare	Nightmare
nine	Nine
nine_lives	Nine Lives
nineteen	Nineteen
ninety	Ninety
nip	Nip
no	No
no_bicycles	No Bicycles
no_cars	No Cars
no_data	No Data
no_dumping_allowed	No Dumping Allowed
no_entry	No Entry
no_exit	No Exit
no_food	No Food
no_left_turn	No Left Turn
no_littering	No Littering
no_motorcycles	No Motorcycles
no_parking	No Parking
no_passing	No Passing
no_pedestrians	No Pedestrians
no_right_turn	No Right Turn
no_shoulder	No Shoulder
no_standing	No Standing
no_stopping	No Stopping
no_tailgating	No Tailgating
no_trailers_allowed	No Trailers Allowed
no_trespassing	No Trespassing
no_trucks_allowed	No Trucks Allowed
no_turn_on_red	No Turn On Red
no_u_turn	No U Turn
noble	Noble
noise	Noise
nominate	Nominate
none	None
noodle	Noodle
noon	Noon
norm	Norm
normal	Normal
north	North
north_carolina	North Carolina
north_dakota	North Dakota
norway_a	Norway - 1
norway_b	Norway - 2
norway_c	Norway - 3
nose	Nose
nose_blow	Nose - Blow
nosebleed	Nosebleed
nostril	Nostril
not	Not
not_a_through_street	Not A Through Street
notch	Notch
note	Note - Memo
notebook	Notebook
notebook_paper	Notebook Paper
notepad	Notepad
nothing	Nothing
notification	Notification
notion	Notion
november	November
now	Now
nude	Nude
number	Number
numeral	Numeral
numerator	Numerator
nun	Nun
nurse	Nurse
nurse_dressing_room	Nurse - Dressing Room
nurse_hat	Nurse - Hat
nurse_homecare	Nurse - Homecare
nursery_baby	Nursery - Baby
nursing_baby	Nursing - Baby
nursing_home	Nursing Home
nut	Nut
nutrient	Nutrient
nutrition	Nutrition
o	O
oars	Oars
oath	Oath
obey	Obey
object_noun	Object - Noun
object_verb	Object - Verb
objection	Objection
objective	Objective
obligate	Obligate
observation_room	Observation Room
observe	Observe
obstacle	Obstacle
obstetrician	Obstetrician
obstetrics	Obstetrics
obstinate	Obstinate
obtain	Obtain
obvious	Obvious
occupation	Occupation
occupy	Occupy
occur	Occur
ocean	Ocean
october	October
octopus	Octopus
odd	Odd
odor	Odor
of	Of
off	Off
offer	Offer
office	Office
office_manager	Office Manager
office_mobile	Office Mobile
often	Often
ohio	Ohio
oil	Oil
oil_barrel	Oil Barrel
oil_derrick	Oil Derrick
ointment	Ointment
oklahoma_1	Oklahoma - 1
oklahoma_2	Oklahoma - 2
old	Old
olive	Olive
olympics	Olympics
omit	Omit
on	On
on_the_sick_list	On The Sick List
once	Once
oncology	Oncology
oncoming_traffic	Oncoming Traffic
one	One
one_billion	One Billion
one_fourth	One-fourth
one_half	One-half
one_hundred	One Hundred
one_hundred_feet	One Hundred Feet
one_hundred_thousand	One Hundred Thousand
one_million	One Million
one_thousand	One Thousand
one_way_street	One-Way Street
onion	Onion
onion_rings	Onion Rings
only	Only
onto	Onto
onward	Onward
opaque	Opaque
open	Open
open_a_gift	Open - Gift
opera	Opera
operate_machine	Operate - Machine
operate_surgery	Operate - Surgery
operating_room	Operating Room
operating_table	Operating Table
operation	Operation
operation_surgery	Operation - Surgery
opinion	Opinion
opossum	Opossum
opportune	Opportune
oppose	Oppose
opthalmologist	Opthalmologist
opthalmology	Opthalmology
optician	Optician
option	Option
optometrist	Optometrist
optometry	Optometry
or	Or - 1
or_2	Or - 2
oral	Oral
orally	Orally
orange	Orange - Fruit
orange_color	Orange - Color
orbit	Orbit
orchard	Orchard
orchestra	Orchestra
order_command	Order - Command
order_from_menu	Order - From Menu
orderly_medical	Orderly - Medical
ordinance	Ordinance
ordinary	Ordinary
ore	Ore
oregon	Oregon
organ	Organ - Musical
organ_body	Organ - Body
organize	Organize
orient	Orient
origin	Origin
orothopedics	Orthopedics
orthodontic	Orthodontic
ostrich	Ostrich
other	Other
ottoman	Ottoman
ouch	Ouch
ought	Ought
ounce	Ounce
our	Our
out	Out
out_of_order	Out Of Order
out_of_order_sign	Out Of Order Sign
out_to_lunch	Out To Lunch
outfit	Outfit
outhouse	Outhouse
outlet_cover	Outlet Cover
outlet_electric	Outlet - Electric
outline	Outline
ova	Ova
oval	Oval
oven	Oven
oven_mitt	Oven Mitt
over	Over - 1
over_2	Over - 2
overalls	Overalls
overalls_childs	Overalls - Child's
overcoat	Overcoat
overeating	Overeating
overhead_projector	Overhead Projector
overheating	Overheating
overpass	Overpass
overweight	Overweight
overwhelm	Overwhelm
owe	Owe
own	Own
ox	Ox
oxygen	Oxygen
p	P
p_m_1	PM - time 1
p_m_2	PM - time 2
pacifier	Pacifier
pack	Pack - Put In Container
package	Package
packing_for_college	Packing For College
pad	Pad - Soft Cushion
paddle_bottom	Paddle - Bottom
paddle_oar	Paddle - Oar
paddle_table_tennis	Paddle - Table Tennis
padlock	Padlock
page	Page - Book
pageant	Pageant
pail	Pail
pain	Pain
paint	Paint
paint_can	Paint Can
paint_palette	Paint Palette
paint_roller	Paint Roller
paint_sprayer	Paint Sprayer
paint_thinner	Paint Thinner
paint_tray	Paint Tray
paintbrush	Paintbrush
painter	Painter
pair	Pair
pajamas	Pajamas
pajamas_childrens	Pajamas - Children's
pal	Pal
palace	Palace
pale	Pale
pallet_construction	Pallet - Construction
pamphlet	Pamphlet
pancake	Pancake
panda	Panda
panel	Panel
panic	Panic
pansy	Pansy
panther	Panther
panties	Panties
pantry_food	Pantry - Food
pants	Pants
paper	Paper
paper_airplane	Paper Airplane
paper_clip	Paper Clip
paper_towel	Paper Towel
paperboy	Paperboy
parachute	Parachute
parade	Parade
paradise	Paradise
paradox	Paradox
paragraph	Paragraph
parakeet	Parakeet
paralegal	Paralegal
parallel	Parallel
parallel_parking	Parallel Parking
paralysis	Paralysis
paralyze	Paralyze
paramedic	Paramedic
paranoid	Paranoid
paraprofessional	Paraprofessional
parasite	Parasite
paratrooper	Paratrooper
pardon	Pardon
pare	Pare
parent	Parent
parent_teacher_meeting	Parent-Teacher Meeting
parentheses_punctuation	Punctuation - Parentheses
parenthesis	Parenthesis
parents	Parents
parents_to_be	Parents To Be
paris	Paris
park_and_rail	Park And Rail
park_and_ride	Park And Ride
park_car	Park - Car
park_ranger	Park Ranger
parking	Parking
parking_attendant	Parking Attendant
parking_brake	Parking Brake
parking_hours	Parking Hours
parking_lights	Parking Lights
parking_meter	Parking Meter
parking_restriction	Parking Restriction
parking_short_term	Parking - Short Term
parking_spot	Parking Spot
parliament	Parliament
parochial_school	Parochial School
parrot	Parrot - Bird
part	Part - Portion
participate	Participate
particle	Particle
particular	Particular
partner	Partner
party	Party
party_favors	Party Favors
party_flyer	Party Flyer
party_hat	Party Hat
party_planner_book	Party Planner - Book
party_planner_person	Party Planner - Person
pass	Pass - Go Around
pass_car	Pass - Car
pass_with_care	Pass With Care
passenger	Passenger
passing_by_in_hallway	Passing By In Hallway
passing_permitted	Passing Permitted
passing_zone	Passing Zone
passover	Passover
passport_1	Passport - 1
passport_2	Passport - 2
password	Password
paste	Paste
pastry	Pastry
pasture	Pasture
pat	Pat
patch	Patch
path	Path
pathology	Pathology
patient_characteristic	Patient - Characteristic
patient_medical	Patient - Medical
patio_furniture	Patio Furniture
patriot	Patriot
patriotic	Patriotic
patrol	Patrol
pattern	Pattern
pause	Pause
pave	Pave
pavement_narrows	Pavement Narrows
paw	Paw
pawnbroker	Pawnbroker
pawprint	Pawprint
pay	Pay
pay_late_fees	Pay Late Fees
pay_toll	Pay Toll
pea	Pea
peace	Peace
peach	Peach
peak	Peak
peanut	Peanut
peanut_butter	Peanut Butter
pear	Pear
pebble	Pebble
peck	Peck - Like A Bird
peculiar	Peculiar
peddle_bicycle	Peddle - Bicycle
peddle_sell	Peddle - Sell
pedestrian	Pedestrian
pedestrian_crossing	Pedestrian Crossing
pediatric_emergency	Pediatric Emergency
pediatrician	Pediatrician
pediatrics	Pediatrics
peek	Peek
peel	Peel
peer_pressure	Peer Pressure
pen	Pen - Writing
penalty	Penalty
pencil	Pencil
pencil_box	Pencil Box
pencil_colored	Pencil - Colored
pencil_cup	Pencil Cup
pencil_red	Pencil - Red
pendulum	Pendulum
penetrate	Penetrate
penis	Penis
pennant	Pennant
pennant_school	Pennant School
pennsylvania	Pennsylvania
penny	Penny
people	People
pepper	Pepper
peppermill_1	Peppermill - 1
peppermill_2	Peppermill - 2
per	Per
perceive	Perceive
percent	Percent
percentage	Percentage
perch	Perch
percolate	Percolate
perfect	Perfect
perform	Perform
perfume	Perfume
perfume_spraying	Perfume - Spraying
perfume_testing	Perfume - Testing
perhaps	Perhaps
perimeter	Perimeter
period_punctuation	Period - Punctuation
period_time	Period - Time
periscope	Periscope
perish	Perish
permanent	Permanent
permit	Permit - Allow
permit_driving	Permit - Driving
perpendicular	Perpendicular
perpetual	Perpetual
persecute	Persecute
persist	Persist
person	Person
person_marker	Person - Marker
personality	Personality
perspective	Perspective
perspire	Perspire
persuade	Persuade
pervert	Pervert
pest	Pest
pet	Pet
pet_bed	Pet Bed
pet_care	Pet Care
pet_carrier	Pet Carrier
pet_food_dish	Pet Food Dish
pet_toy	Pet Toy
pet_water_bowl	Pet Water Bowl
petfood	Pet Food
petri_dish	Petri Dish
petting_zoo	Petting Zoo
pharmacist	Pharmacist
pharmacology	Pharmacology
pharmacy	Pharmacy
philadelphia	Philadelphia
philosophy	Philosophy
phobia	Phobia
phone	Phone
phone_stand	Phone Stand
photo	Photo
photo_album	Photo Album
photograph	Photograph
photographer	Photographer
phrase	Phrase
physical	Physical
physical_education	Physical Education
physical_examination	Physical Examination
physical_fitness	Physical Fitness
physical_therapy	Physical Therapy
physics	Physics
piano	Piano
piano_mover	Piano Mover
piano_tuner	Piano Tuner
piccolo	Piccolo
pick	Pick - Choose
pick_construction	Pick - Construction
pickaxe	Pickaxe
pickle	Pickle
picnic	Picnic
picnic_area	Picnic Area
picnic_basket	Picnic Basket
picnic_table	Picnic Table
picture	Picture
picture_id	Picture ID
pie	Pie
pie_throwing	Pie Throwing
piece	Piece
pier	Pier
pierce	Pierce
pig	Pig
pile	Pile
pilgrim	Pilgrim
pill	Pill
pillow	Pillow
pillow_throw	Pillow - Throw
pillowcase	Pillowcase
pills_bottle_of	Pills - Bottle Of
pilot	Pilot
pimple	Pimple
pin	Pin - Verb
pin_cushion	Pin Cushion
pin_flower	Pin - Flower
pinafore	Pinafore
pinch	Pinch
pineapple	Pineapple
ping_pong	Ping Pong
pink	Pink
pinkeye	Pinkeye
pint	Pint
pioneer	Pioneer
pipe	Pipe - Tobacco - 1
pipe_tobacco	Pipe - Tobacco - 2
pipes_construction	Pipes - Construction
pirate	Pirate
pitch	Pitch - Toss
pitcher	Pitcher
pitchfork	Pitchfork
pittsburgh	Pittsburgh
pity	Pity
pixie	Pixie
pizza	Pizza
pizza_cutter	Pizza Cutter
pizza_delivery_person	Pizza Delivery Person
pizza_maker	Pizza Maker
place	Place - Location
plagiarize	Plagiarize
plague	Plague
plaid	Plaid
plain_land	Plain - Land
plain_ordinary	Plain - Ordinary
plan	Plan
plane	Plane - Airplane
planer_tool	Planer - Tool
planet	Planet
plant	Plant - Vegetation
plant_cell	Plant Cell
plant_entrance	Plant Entrance
planter	Planter
plaster	Plaster
plastic_explosives	Plastic Explosives
plate	Plate
plateau	Plateau
platter	Platter
platypus	Platypus
play_fun	Play - Fun
play_theater	Play - Theater
playground	Playground
please	Please
pledge	Pledge
pledge_of_allegiance	Pledge Of Allegiance
plenty	Plenty
pliers	Pliers
pliers_long_nosed	Pliers - Long Nosed
plow	Plow
plug	Plug
plum	Plum
plumb_line	Plumb Line
plunger	Plunger
plural	Plural
plus	Plus
plywood	Plywood
pneumonia	Pneumonia
pocket	Pocket
pocket_watch	Pocket Watch
pocketbook	Pocketbook
pocketknife	Pocketknife
podiatrist	Podiatrist
podiatry	Podiatry
podium	Podium
poem	Poem
poet	Poet
poetry	Poetry
poignant_1	Poignant - 1
poignant_2	Poignant - 2
poignant_3	Poignant - 3
point	Point
point_of_interest	Point Of Interest
pointer	Pointer
poison	Poison
poke	Poke
poland	Poland
polar_bear	Polar Bear
pole	Pole
poles_construction	Poles - Construction
police	Police
police_officer	Police Officer
police_station	Police Station
policeman	Policeman
policy	Policy
polish	Polish
polite	Polite
politic	Politic
political_science	Political Science
pollute	Pollute
polo	Polo
polo_player	Polo Player
poncho	Poncho
pond	Pond
ponder	Ponder
pony	Pony
pony_ride	Pony Ride
pool	Pool - Swimming
pool_party	Pool Party - Swimming
pool_player	Pool Player - Game
pool_table	Pool Table
pool_water	Pool - Water
pooper_scooper	Pooper Scooper
poor	Poor
pop	Pop - Soda
popcorn	Popcorn
popcorn_cart	Popcorn Cart
popcorn_salt	Popcorn Salt
popular	Popular
populate	Populate
porch_swing	Porch Swing
porcupine	Porcupine
pork	Pork
porpoise	Porpoise
port	Port - Ship Direction
portable	Portable
position	Position
positive	Positive
possible	Possible
possum	Possum
post	Post - Notice Or Sign
post_office	Post Office
postal_worker	Postal Worker
poster	Poster
postpone	Postpone
posture	Posture
pot	Pot - Container
potato	Potato
potato_masher	Potato Masher
potholder	Potholder
potty	Potty
pouch	Pouch - Sack Or Pocket
pouch_money	Pouch - Money
pound	Pound - Weight
pour	Pour
pout	Pout
powder	Powder
power	Power
power_generator	Power Generator
power_steering	Power Steering
power_surge_strip	Power Surge Strip
pox	Pox
practice	Practice
praise	Praise
pray	Pray
preach	Preach
preacher	Preacher
precinct	Precinct
precious	Precious
precipitation	Precipitation
precise	Precise
predicate	Predicate
predict	Predict
prefer	Prefer
prefix	Prefix
pregnant	Pregnant
prejudice	Prejudice
premier	Premier - Best
premolar	Premolar
prepare	Prepare
presbyterian	Presbyterian
preschool	Preschool
prescribe	Prescribe
prescription	Prescription
presence	Presence
present_gift	Present - Gift
preserve	Preserve
president	President
press	Press - Apply Pressure
pressure_cooker	Pressure Cooker
pretend	Pretend
pretty	Pretty
pretzel	Pretzel
prevent	Prevent
price_a	Price - 1
price_b	Price - 2
price_tag	Price Tag
pride	Pride
priest	Priest
primary	Primary - Best Or First
prime	Prime - Quality
prime_minister	Prime Minister
prince	Prince
princess	Princess
principal	Principal
principals_office	Principal's Office
principle	Principle
print	Print
printer_person	Printer - Person
prior	Prior
priority	Priority
prison	Prison
private	Private - Personal
private_eye	Private Eye
private_property	Private Property
prize	Prize - Gift Or Award
pro	Pro - Very Well Qualified
probable	Probable
problem	Problem
proceed	Proceed
process	Process
processing_a_request	Processing - A Request
proclaim	Proclaim
procrastinate	Procrastinate
produce	Produce - Make
produce_vendor	Produce Vendor
producer	Producer
production_sheet	Production Sheet
productivity	Productivity
profess	Profess
profession	Profession
professor	Professor
profile	Profile
profit	Profit
profound	Profound
program	Program
progress	Progress
prohibit	Prohibit
project	Project - Task
projector_movie	Projector - Movie
projector_screen	Projector - Screen
prologue	Prologue
prom_1	Prom - 1
prom_2	Prom - 2
promise	Promise
promote	Promote
pronounce	Pronounce
proof	Proof - Evidence
propaganda	Propaganda
proper	Proper
property	Property
prophecy	Prophecy
proportion	Proportion
propose_marriage	Propose - Marriage
prose	Prose
prospector	Prospector
prosthetics	Prosthetics
prostitute	Prostitute
protect	Protect
protestant	Protestant
proton	Proton
prove	Prove
proverb	Proverb
provide	Provide
proximal	Proximal
prune	Prune - Clip
psychedelic	Psychedelic
psychiatrist	Psychiatrist
psychiatry	Psychiatry
psychologist	Psychologist
psychology	Psychology
psychology_experiment	Psychology Experiment
public	Public
public_school	Public School
publicity	Publicity
publisher	Publisher
puddle	Puddle
puff	Puff - Short Gust Of Air
pull	Pull
pulley	Pulley
pulling_a_tooth	Pulling A Tooth
pulminary_physiology	Pulminary Physiology
pulp_truck	Pulp Truck
pulse_check	Pulse Check
pulse_heartbeat	Pulse - Heartbeat
pump	Pump - Verb
pump_bottle	Pump Bottle
pump_construction	Pump - Construction
pumpkin	Pumpkin
punch	Punch - Jab
punctuation	Punctuation
punish	Punish
pupil	Pupil - Eye
puppet	Puppet
puppeteer	Puppeteer
puppy	Puppy
purchase	Purchase
pure	Pure
purple	Purple
purpose	Purpose
purse	Purse
purse_change	Purse - Change
pursue	Pursue
push	Push
push_for_walk_signal	Push For Walk Signal
put	Put
putty_knife	Putty Knife
puzzle	Puzzle
puzzle_piece	Puzzle Piece
pylon	Pylon
q	Q
quake	Quake
quaker	Quaker
qualification	Qualification
qualify	Qualify
quantity	Quantity
quarantined	Quarantined
quarrel	Quarrel
quart	Quart
quarter	Quarter
queen	Queen
question	Question
question_mark_punctuation	Punctuation - Question Mark
quick	Quick
quiet	Quiet
quit	Quit
quiz	Quiz
quote	Quote
quotient	Quotient
r	R
rabbi	Rabbi
rabbit_a	Rabbit - 1
rabbit_b	Rabbit - 2
raccoon	Raccoon
race	Race - Competition
rack	Rack - Shelf
racket	Racket - Sport
radar_enforced	Radar Enforced
radio	Radio
radio_clock	Clock - Radio
radioactive	Radioactive
radiology	Radiology
radiotherapy	Radiotherapy
radish	Radish
radius	Radius
raft	Raft
rafting	Rafting
rag	Rag
rage	Rage
rail	Rail
railroad_crossing	Railroad Crossing
railroad_crossing_gate	Railroad Crossing - Gate
railroad_crossing_no_gate	Railroad Crossing - No Gate
railroad_signal	Railroad Signal
rain	Rain
rain_puddle	Rain Puddle
rain_shelter	Rain Shelter
rainbow	Rainbow
raincoat	Raincoat
raindrop	Raindrop
rainy_day	Rainy Day
rainy_weather	Rainy Weather
raise	Raise - Elevate
raise_your_hand	Raise Your Hand
raisin	Raisin
rake	Rake
ram	Ram - Animal
ramp	Ramp
ran	Ran
ranch	Ranch
range	Range - Scope
rapid	Rapid
rare	Rare
rash	Rash - Medical
rat	Rat
ratchet	Ratchet
ratchet_pneumatic	Ratchet - Pneumatic
rate	Rate - Speed
rather	Rather
rattle	Rattle
ray	Ray
razor	Razor - Manual
razor_blade	Razor Blade
razor_electric	Razor - Electric
reach	Reach - Verb
reaction_time	Reaction Time
read	Read
reading	Reading
reading_aloud	Reading Aloud
ready	Ready - 1
ready_2	Ready - 2
real	Real
real_estate_agent	Real Estate Agent
real_estate_salesperson	Real Estate Salesperson
realize	Realize
reap	Reap
rear	Rear - Behind
rear_view_mirror	Rear View Mirror - Car
reason	Reason
reassuring_a_patient	Reassuring A Patient
rebel	Rebel - Verb
receive	Receive
recent	Recent
receptionist	Receptionist
recess	Recess - Pause Or Break
recipe	Recipe
recipe_book	Recipe Book
recipe_card	Recipe Card
recliner	Recliner
recognize	Recognize
recommend	Recommend
record_noun	Record - Noun
record_verb	Record - Verb
recovery_room	Recovery Room
recreational_vehicle	Recreational Vehicle
recruit	Recruit - Solicit
recruiter	Recruiter
rectal_exam	Rectal Exam
rectally	Rectally
rectangle	Rectangle
recycling_bin	Recycling Bin
red	Red
red_pepper	Red Pepper
reduce	Reduce
reduce_speed	Reduce Speed
reduce_speed_ahead	Reduce Speed Ahead
reel	Reel - Fishing
refer	Refer
referee	Referee
reflect	Reflect
reflex_hammer	Hammer - Reflex • Reflex Hammer
refrigerate	Refrigerate
refrigerator	Refrigerator
refuse	Refuse - Decline
region	Region
register	Register
registration	Registration
regress	Regress
regret	Regret
regular	Regular
rehabilitate	Rehabilitate
rehabilitation	Rehabilitation
rehearse	Rehearse
reign	Reign
reindeer	Reindeer
reinforce	Reinforce
reject	Reject
relate	Relate
relative	Relative
relax	Relax
relay	Relay
release	Release
relieve	Relieve
religion	Religion
rely	Rely
remain	Remain
remedy	Remedy
remember	Remember
remind	Remind
reminisce	Reminisce
remote	Remote - Far
remove	Remove
rent	Rent
rental_car	Rental Car
repair	Repair
repairman	Repairman
repeat	Repeat
repel	Repel
replace	Replace
reply	Reply
report	Report
report_card	Report Card
report_oral	Report - Oral
reporter	Reporter
represent	Represent
representative	Representative
reputation	Reputation
repute	Repute
request	Request
require	Require
rescue	Rescue
research	Research - 1
research_2	Research - 2
research_paper	Research Paper
researcher	Researcher
resent	Resent
reserve	Reserve
reserve_parking	Reserve Parking
reside	Reside
resign	Resign
resist	Resist
resource	Resource
respect	Respect
respirator	Respirator
responsible	Responsible
rest	Rest
rest_area	Rest Area
rest_stop	Rest Stop
restaurant	Restaurant
restless	Restless
restrain	Restrain
restroom	Restroom
result	Result
resume_work_experience	Resume - Work Experience
resurrection	Resurrection
resuscitator	Resuscitator
retard	Retard
retire	Retire
retirement	Retirement
retreat	Retreat - Withdraw
retrospect	Retrospect
return	Return
reveal	Reveal
revenge	Revenge
reverse	Reverse
review	Review
revise	Revise
revolt	Revolt
revolve	Revolve
reward	Reward
rhinoceros	Rhinoceros
rhode_island	Rhode Island
rhyme	Rhyme
ribbon_first_place	Ribbon - First Place
ribbon_honorable_mention	Ribbon - Honorable Mention
ribbon_second_place	Ribbon - Second Place
ribbon_third_place	Ribbon - Third Place
rice	Rice
rich	Rich
rid	Rid
riddle	Riddle
ride	Ride
ridicule	Ridicule
rifle	Rifle
right_bend	Right Bend
right_correct	Right - Correct
right_direction	Right - Direction
right_lane_closed	Right Lane Closed
right_lane_exit_only	Right Lane - Exit Only
right_lane_must_turn	Right Lane Must Turn
right_turn	Right Turn
ring	Ring
ring_bearer_wedding	Ring Bearer - Wedding
ring_diamond	Ring - Diamond
ring_for_service	Ring For Service
riot	Riot
rip	Rip
rise	Rise
rival	Rival
river	River
riverboat	Riverboat
roach	Roach
road	Road
road_bends	Road Bends
road_block	Road Block
road_closed	Road Closed
road_curves	Road Curves
road_curves_left	Road Curves Left
road_curves_right	Road Curves Right
road_ends	Road Ends
road_enters_from_right	Road Enters From Right
road_narrows	Road Narrows
road_shoulder_work	Road Shoulder Work
road_shoulder_work_ahead	Road Shoulder Work Ahead
road_sign	Road Sign
road_splits	Road Splits
road_trip	Road Trip
road_worker	Road Worker
roadwork	Road Work
roam	Roam
roar	Roar
rob	Rob
robe	Robe
robin	Robin
rock	Rock
rock_paper_scissors_game	Rock Paper Scissors Game
rock_star	Rock Star
rocket	Rocket
rocket_ride	Rocket Ride
rocking_chair_1	Rocking Chair - 1
rocking_chair_2	Rocking Chair - 2
rocking_horse	Rocking Horse
rodent	Rodent
role	Role
roll	Roll - Tumble
roller_construction	Roller - Construction
rollercoaster	Rollercoaster
rolling_pin	Rolling Pin
rolodex	Rolodex
romance	Romance
romantic	Romantic
rome	Rome
roof	Roof
roof_shingles	Roof Shingles
roof_ventilator	Roof Ventilator
roofer	Roofer
roofing_felt	Roofing Felt
room	Room
room_service	Room Service
roost	Roost
rooster	Rooster
root	Root
rope	Rope
rose	Rose
rot	Rot
rotate	Rotate
rotation_medical_service	Rotation - Medical Service
rough	Rough
round	Round - Shape
roundabout	Roundabout
route	Route
router_tool	Router - Tool
routine	Routine
row	Row - Tier
rowboat	Rowboat
royal	Royal
rub	Rub
rubber	Rubber
rubber_chicken	Rubber Chicken
rubella	Rubella
rude	Rude
rug	Rug
ruin	Ruin
rule	Rule - Principle
ruler	Ruler - Measuring Tool
ruler_king	Ruler - King
rummage	Rummage
rumor	Rumor
run	Run
run_animal	Run - Animal
run_car_engine	Run - Car Engine
run_copies	Run - Copies
run_for_office	Run - For Office
run_nose	Run - Nose
run_to_store	Run - To Store
runny_nose	Runny Nose
rural_area	Rural Area
rush	Rush
rush_hour	Rush Hour
russia	Russia
s	S
sabbath	Sabbath
sack	Sack - Bag
sacred	Sacred
sad	Sad
saddle	Saddle
safari	Safari
safe	Safe - Free From Risk
safety_pin	Safety Pin
said	Said
sailboat	Sailboat
sailing	Sailing
sailor	Sailor
saint	Saint
salad	Salad
salad_bowl	Salad Bowl
salami	Salami
sale	Sale
sales_counter	Sales Counter
salesclerk	Salesclerk
salesperson	Salesperson
salt	Salt
saltbox	Salt Box
salute	Salute
same	Same
sample	Sample
san_francisco	San Francisco
sand	Sand
sand_block	Sand Block
sandal	Sandal
sandbox	Sandbox
sander	Sander
sander_belt	Sander - Belt
sander_electric	Sander - Electric
sanding_power	Sanding - Power
sandpaper	Sandpaper
sandwich	Sandwich
sang	Sang
sanitary	Sanitary
sank	Sank
santa_claus	Santa Claus
sarcasm	Sarcasm
sat	Sat
satellite	Satellite
satisfy	Satisfy
saturday	Saturday
sauce	Sauce
sausage	Sausage
save	Save
saved_by_the_bell	Saved By The Bell
savior	Savior
saw_band_saw	Saw - Band Saw
saw_circular_saw	Saw - Circular Saw
saw_jigsaw	Saw - Jigsaw
saw_miter_saw	Saw - Miter Saw
saw_table_saw	Saw - Table Saw
saw_tool	Saw - Tool
saw_viewed	Saw - Viewed
sawhorse	Sawhorse
say	Say
say_aah	Say Aah
scale	Scale - Weight Measure
scalpel	Scalpel
scare	Scare
scarecrow	Scarecrow
scarf	Scarf
scatter	Scatter
scenic	Scenic
sceptic_room	Sceptic Room
sceptor	Sceptor
schedule	Schedule
scheme	Scheme
schizophrenic	Schizophrenic
scholar	Scholar
school	School
school_bell	School Bell
school_bus	School Bus
school_bus_stop	School Bus Stop
school_bus_stop_sign	School Bus Stop Sign
school_crossing	School Crossing
school_crossing_ahead	School Crossing Ahead
school_day	School Day
school_homecoming	School Homecoming
school_is_out	School Is Out
school_lecture	School Lecture
school_newspaper	School Newspaper
school_nurse	School Nurse
school_play	School Play
school_registration	School Registration
school_supplies	School Supplies
school_supply_checklist	School Supply Checklist
school_team	School Team
school_vacation	School Vacation
school_walking_to	School - Walking To
school_zone_drug_free	School Zone - Drug Free
school_zone_end	School Zone - End
science	Science
science_experiment	Science Experiment
science_lab	Science Lab
science_project	Science Project
scientist	Scientist
scissors	Scissors
scissors_food	Scissors - Food
scold	Scold
scoop	Scoop
score	Score - Competition
scorpion	Scorpion
scot	Scot
scotland_a	Scotland - 1
scotland_b	Scotland - 2
scout	Scout
scramble	Scramble
scrape	Scrape
scraper	Scraper - Tool
scratch	Scratch
scream	Scream
screw	Screw - Verb
screw_allen_screw	Screw - Allen Screw
screw_eye_screw	Screw - Eye Screw
screw_flathead	Screw - Flathead
screw_hardware	Screw - Hardware
screw_phillips	Screw - Phillips
screw_sheet_metal	Screw - Sheet Metal
screw_threads	Screw Threads
screw_woodscrew	Screw - Wood Screw
screwdriver	Screwdriver
screwdriver_electric	Screwdriver - Electric
screwdriver_phillips	Screwdriver - Phillips
script	Script
scrub	Scrub
scuba_diver	Scuba Diver
sculpt	Sculpt
sea	Sea
seahorse	Seahorse
seal_animal	Seal - Animal
seal_envelope	Seal - Envelope
seamstress	Seamstress
search	Search
searchlight	Searchlight
seashell	Seashell
season	Season
season_time_of_year	Season - Time Of Year
seat	Seat
seatbelt	Seatbelt
seating_chart	Seating Chart
second_number	Second - Number
second_time	Second - Time
secret	Secret
